2025-10-15 16:05:14,657 - =====================Start Training=====================
2025-10-15 16:05:14,657 - config: resshift_10x_ch8
2025-10-15 16:05:14,657 - description: ch_base = 8
2025-10-15 16:05:14,658 - Epoch, Loss_train, Loss_val (K)
2025-10-15 23:50:27,908 - 231, 0.00003250, 0.6138
2025-10-15 23:52:30,078 - 232, 0.00003285, 0.6159
2025-10-15 23:54:30,692 - 233, 0.00003277, 0.6123
2025-10-15 23:56:32,013 - 234, 0.00003264, 0.6164
2025-10-15 23:58:32,361 - 235, 0.00003234, 0.6117
2025-10-16 00:00:34,070 - 236, 0.00003229, 0.6129
2025-10-16 00:02:33,715 - 237, 0.00003282, 0.6134
2025-10-16 00:04:35,271 - 238, 0.00003235, 0.6143
2025-10-16 00:06:35,546 - 239, 0.00003272, 0.6142
2025-10-16 00:08:37,359 - 240, 0.00003253, 0.6159
2025-10-16 00:10:36,063 - 241, 0.00003268, 0.6150
2025-10-16 00:12:35,193 - 242, 0.00003247, 0.6096
2025-10-16 00:14:34,735 - 243, 0.00003202, 0.6138
2025-10-16 00:16:36,046 - 244, 0.00003229, 0.6141
2025-10-16 00:18:36,238 - 245, 0.00003217, 0.6121
2025-10-16 00:20:37,226 - 246, 0.00003275, 0.6119
2025-10-16 00:22:37,175 - 247, 0.00003231, 0.6133
2025-10-16 00:24:37,934 - 248, 0.00003209, 0.6149
2025-10-16 00:26:38,331 - 249, 0.00003253, 0.6160
2025-10-16 00:28:38,876 - 250, 0.00003283, 0.6124
2025-10-16 00:30:39,173 - 251, 0.00003216, 0.6095
2025-10-16 00:32:40,106 - 252, 0.00003285, 0.6145
2025-10-16 00:34:40,107 - 253, 0.00003288, 0.6122
2025-10-16 00:36:41,273 - 254, 0.00003224, 0.6130
2025-10-16 00:38:42,077 - 255, 0.00003219, 0.6130
2025-10-16 00:40:43,421 - 256, 0.00003230, 0.6140
2025-10-16 00:42:44,047 - 257, 0.00003235, 0.6126
2025-10-16 00:44:44,485 - 258, 0.00003238, 0.6135
2025-10-16 00:46:45,125 - 259, 0.00003257, 0.6150
2025-10-16 00:48:46,138 - 260, 0.00003256, 0.6117
2025-10-16 00:50:46,347 - 261, 0.00003216, 0.6121
2025-10-16 00:52:44,666 - 262, 0.00003216, 0.6118
2025-10-16 00:54:44,794 - 263, 0.00003298, 0.6119
2025-10-16 00:56:44,193 - 264, 0.00003166, 0.6105
2025-10-16 00:58:45,201 - 265, 0.00003255, 0.6105
2025-10-16 01:00:46,056 - 266, 0.00003274, 0.6108
2025-10-16 01:02:47,817 - 267, 0.00003219, 0.6107
2025-10-16 01:04:48,220 - 268, 0.00003194, 0.6109
2025-10-16 01:06:50,379 - 269, 0.00003229, 0.6113
2025-10-16 01:08:50,658 - 270, 0.00003218, 0.6102
2025-10-16 01:10:51,833 - 271, 0.00003228, 0.6116
2025-10-16 01:10:51,833 - Training finished with early stopping, best loss_val = 0.6095 K
