2025-09-12 10:14:42,002 - =====================Start Training=====================
2025-09-12 10:14:42,003 - config: mocolsk_v0_10x
2025-09-12 10:14:42,003 - description: mocolsk | 10x | ch=32
2025-09-13 00:36:18,945 - Epoch 169: train_loss = 0.00004432, rmse_val = 0.6777 K
2025-09-13 00:41:23,049 - Epoch 170: train_loss = 0.00004424, rmse_val = 0.6756 K
2025-09-13 00:46:27,286 - Epoch 171: train_loss = 0.00004424, rmse_val = 0.6759 K
2025-09-13 00:51:32,274 - Epoch 172: train_loss = 0.00004416, rmse_val = 0.6784 K
2025-09-13 00:56:35,971 - Epoch 173: train_loss = 0.00004410, rmse_val = 0.6771 K
2025-09-13 01:01:40,187 - Epoch 174: train_loss = 0.00004403, rmse_val = 0.6756 K
2025-09-13 01:06:44,685 - Epoch 175: train_loss = 0.00004393, rmse_val = 0.6738 K
2025-09-13 01:11:49,454 - Epoch 176: train_loss = 0.00004395, rmse_val = 0.6730 K
2025-09-13 01:16:53,533 - Epoch 177: train_loss = 0.00004380, rmse_val = 0.6750 K
2025-09-13 01:21:57,664 - Epoch 178: train_loss = 0.00004383, rmse_val = 0.6764 K
2025-09-13 01:27:02,820 - Epoch 179: train_loss = 0.00004368, rmse_val = 0.6767 K
2025-09-13 01:32:06,886 - Epoch 180: train_loss = 0.00004370, rmse_val = 0.6765 K
2025-09-13 01:37:11,033 - Epoch 181: train_loss = 0.00004368, rmse_val = 0.6730 K
2025-09-13 01:42:16,321 - Epoch 182: train_loss = 0.00004352, rmse_val = 0.6783 K
2025-09-13 01:47:20,644 - Epoch 183: train_loss = 0.00004348, rmse_val = 0.6759 K
2025-09-13 01:52:24,582 - Epoch 184: train_loss = 0.00004347, rmse_val = 0.6774 K
2025-09-13 01:57:29,023 - Epoch 185: train_loss = 0.00004334, rmse_val = 0.6762 K
2025-09-13 02:02:33,762 - Epoch 186: train_loss = 0.00004332, rmse_val = 0.6751 K
2025-09-13 02:07:37,713 - Epoch 187: train_loss = 0.00004326, rmse_val = 0.6742 K
2025-09-13 02:12:41,544 - Epoch 188: train_loss = 0.00004324, rmse_val = 0.6743 K
2025-09-13 02:17:46,378 - Epoch 189: train_loss = 0.00004320, rmse_val = 0.6758 K
2025-09-13 02:22:50,681 - Epoch 190: train_loss = 0.00004315, rmse_val = 0.6744 K
2025-09-13 02:27:54,992 - Epoch 191: train_loss = 0.00004310, rmse_val = 0.6749 K
2025-09-13 02:32:59,863 - Epoch 192: train_loss = 0.00004302, rmse_val = 0.6763 K
2025-09-13 02:38:04,712 - Epoch 193: train_loss = 0.00004296, rmse_val = 0.6794 K
2025-09-13 02:43:08,651 - Epoch 194: train_loss = 0.00004293, rmse_val = 0.6770 K
2025-09-13 02:48:12,604 - Epoch 195: train_loss = 0.00004288, rmse_val = 0.6756 K
2025-09-13 02:53:17,745 - Epoch 196: train_loss = 0.00004281, rmse_val = 0.6771 K
2025-09-13 02:58:21,528 - Epoch 197: train_loss = 0.00004277, rmse_val = 0.6759 K
2025-09-13 03:03:25,568 - Epoch 198: train_loss = 0.00004277, rmse_val = 0.6774 K
2025-09-13 03:08:30,617 - Epoch 199: train_loss = 0.00004265, rmse_val = 0.6758 K
2025-09-13 03:13:34,881 - Epoch 200: train_loss = 0.00004262, rmse_val = 0.6733 K
2025-09-13 03:18:38,477 - Epoch 201: train_loss = 0.00004256, rmse_val = 0.6750 K
2025-09-13 03:18:38,477 - Early stopping, best rmse_val = 0.6730 K
